P;pobocka 3
skoda;superb;3H3 01-01;6.3
VW;passat;5E1 12-32;6.1
skoda;fabia;3S1 22-01;5.9
skoda;scala;3A1 87-31;5.8
jaguar;XE;5H1 47-71;5.8
P;pobocka 2
citroen;C4;6S1 33-12;7.0
VW;golf;3E9 31-99;5.8
VW;arteon;3E5 38-19;5.8
VW;turan;4E5 81-84;5.7
skoda;scala;3E1 17-31;5.8
jaguar;XE;5S1 57-71;5.8
P;pobocka 4
skoda;ocatvia;3H2 91-11;5.8
vw;trasporter;3H1 12-12;8.2
vw;tiguan;5E1 21-82;6.2
VW;arteon;3E1 38-19;5.8
VW;turan;4E1 81-84;5.7
skoda;scala;3P1 88-11;5.8
jaguar;XE;5P1 57-31;5.8
P;pobocka 1
subaru;legacy;5E1 12-32;6.2
volvo;V60;5S1 23-41;7.1
vw;polo;5E8 77-12;6.2
bmw;320;3S8 88-27;5.2
skoda;scala;3C1 93-11;5.5
jaguar;XE;5C1 97-81;5.1